CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,5347,HELICONIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,19,16,48,3,FRUTO FRESCO
5,ANTIOQUIA,5649,SAN CARLOS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,18,16,48,3,FRUTO FRESCO
5,ANTIOQUIA,5142,CARACOLI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,16,16,81,5.1,FRUTO FRESCO
5,ANTIOQUIA,5647,SAN ANDRES,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,15,10,30,3,FRUTO FRESCO
5,ANTIOQUIA,5308,GIRARDOTA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,15,7,49,7,FRUTO FRESCO
5,ANTIOQUIA,5483,NARIÑO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,15,14,99,7.1,FRUTO FRESCO
5,ANTIOQUIA,5209,CONCORDIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,15,15,225,15,FRUTO FRESCO
5,ANTIOQUIA,5284,FRONTINO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,14,9,53,6,FRUTO FRESCO
5,ANTIOQUIA,5086,BELMIRA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,14,9,105,12.2,FRUTO FRESCO
5,ANTIOQUIA,5091,BETANIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,13,0,0,0,FRUTO FRESCO
